<type 'list'>
40.73562588 -73.97408506 778
40.74623644 -73.8780097 741
40.75154172 -74.03012902 735
40.78867868 -74.00611018 724
40.75154172 -73.8780097 723
40.72501532 -73.9580725 722
40.70909948 -73.98209134 713
40.7303206 -73.95006622 713
40.78867868 -73.96607878 713
40.73562588 -73.8780097 708
40.76745756 -73.91003482 707
40.72501532 -74.0381353 705
40.76215228 -73.8780097 700
40.80459452 -73.94205994 692
40.70909948 -73.93405366 688
40.74623644 -73.94205994 677
40.71440476 -73.97408506 675
40.71971004 -73.97408506 671
40.79398396 -73.93405366 666
40.69848892 -73.99009762 664
40.76215228 -73.91003482 642
40.756847 -73.8780097 639
40.70909948 -73.92604738 629
40.77806812 -73.99009762 620
40.74093116 -74.0381353 616
40.756847 -73.91003482 616
40.69848892 -73.93405366 612
40.77806812 -73.91003482 601
40.8098998 -73.92604738 595
40.74623644 -74.03012902 594
40.74093116 -73.8780097 577
40.78867868 -74.01411646 576
40.77276284 -73.92604738 570
40.75154172 -73.89402226 569
40.69848892 -73.90202854 566
40.74623644 -74.04614158 566
40.74623644 -73.92604738 565
40.69848892 -73.91003482 552
40.7833734 -73.96607878 550
40.80459452 -73.93405366 543
40.7037942 -73.88601598 542
10000
10000
10000
10000
10000
Traceback (most recent call last):
  File "gp_job.py", line 153, in <module>
    save_results = [0]*len(results)
  File "gp_job.py", line 132, in test
    
IndexError: list index out of range
