@relation 'CityBeatEvents-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Standardize-weka.filters.MultiFilter-Fweka.filters.supervised.instance.SpreadSubsample -M 1.0 -X 0.0 -S 1-Fweka.filters.unsupervised.attribute.Standardize_predicted'

@attribute AvgCaptionLen numeric
@attribute AvgPhotoDis numeric
@attribute AvgPhotoDisbyCap numeric
@attribute CaptionPercentage numeric
@attribute PredictedStd numeric
@attribute TopWordPopularity numeric
@attribute Zscore numeric
@attribute Entropy numeric
@attribute tfidf1 numeric
@attribute tfidf2 numeric
@attribute tfidf3 numeric
@attribute NumberOfHashtages1 numeric
@attribute NumberOfHashtages2 numeric
@attribute NumberOfHashtages3 numeric
@attribute NumberOfPhotsoContaingTopWord1 numeric
@attribute NumberOfPhotsoContaingTopWord2 numeric
@attribute NumberOfPhotsoContaingTopWord3 numeric
@attribute Top10PhotoLocationNameFreq numeric
@attribute Top3PhotoLocationNameSame numeric
@attribute ID string
@attribute predictedlabel {1,-1}
@attribute label {1,-1}

@data
-0.623609,-0.177037,-1.622332,-1.234465,-0.704564,-0.573447,0.471328,0.808011,-0.547971,-0.294777,-0.020935,0.215313,-0.535428,0.705627,-0.591847,-0.798606,-0.687047,-0.674607,-0.316947,51149ab2c2a3754cfe66af56,-1,1
0.84237,0.244274,-0.333901,0.373239,0.029474,0.089379,-0.588293,0.171795,0.178716,-0.512789,-0.332558,0.080711,-0.009279,-0.561231,-0.195264,0.21219,-0.010332,0.834935,-0.316947,51147facc2a3754cfe668c48,1,1
-0.589516,0.230834,0.178685,0.373239,-0.866921,-0.131563,0.331962,-0.031529,1.111867,-0.626631,-0.522233,-0.188494,-0.219739,0.072198,0.994484,-0.798606,-0.687047,1.357468,3.143059,51148ba9c2a3754cfe669b8b,1,1
1.25148,1.016184,0.764328,0.373239,0.399365,0.089379,-0.535992,-0.678913,0.092432,0.44615,-0.149896,-0.592302,-0.430198,-0.561231,-0.195264,0.21219,-0.010332,-0.210133,-0.316947,51148f62c2a3754cfe66a1b7,1,1
-0.195558,0.940542,0.691648,0.373239,-0.519146,-0.131563,-0.400381,1.078892,-0.126913,-0.02888,-0.424631,0.215313,-0.219739,-0.086159,-0.195264,-0.293208,-0.010332,0.312401,-0.316947,51148d2dc2a3754cfe669e3e,-1,1
1.410578,-0.33379,0.803644,0.373239,0.953413,-0.352505,-0.822248,0.000607,-0.667138,-0.482265,-0.382449,0.417217,0.253796,-0.086159,-0.591847,-0.293208,-0.010332,-0.210133,-0.316947,51147864c2a3754cfe668473,1,1
-1.097116,1.165146,0.661033,0.373239,2.00936,-0.352505,-0.83324,0.713867,-0.39608,-0.388179,-0.382449,-0.188494,-0.219739,-0.244516,-0.591847,-0.293208,-0.010332,0.312401,-0.316947,511479f3c2a3754cfe66856a,1,1
-1.377432,-0.426804,0.481066,0.373239,3.407489,0.310321,-0.646745,-0.564112,-0.001173,0.564457,1.507504,-0.592302,-0.009279,-0.244516,-0.195264,0.21219,0.666384,0.834935,-0.316947,51147969c2a3754cfe66850e,1,1
-0.066764,-1.59351,0.076867,0.373239,0.390746,1.415031,-0.191968,-2.219304,1.189323,1.791589,1.274519,-0.51154,-0.093463,-0.434545,0.597901,1.222987,2.019815,1.357468,-0.316947,51148f61c2a3754cfe66a1aa,1,1
-0.028884,1.027976,0.13006,0.373239,-0.758398,0.973147,0.446322,1.190062,-0.435595,-0.549774,-0.581154,-0.457699,-0.535428,0.230555,0.994484,0.717588,-0.010332,-0.732666,-0.316947,511486cfc2a3754cfe669515,-1,1
0.88025,-0.62707,-0.346466,0.373239,-0.525593,2.077857,-0.240246,-0.392923,2.043387,-0.545409,-0.424631,-0.476928,-0.445231,-0.561231,1.391066,2.233783,0.666384,0.312401,-0.316947,511484e2c2a3754cfe66922d,1,1
0.562053,-0.226386,0.876721,0.373239,-0.58888,-0.352505,0.001553,-0.678913,-0.371315,-0.136885,-0.351146,0.013409,0.095951,0.705627,-0.591847,-0.293208,-0.010332,0.312401,-0.316947,511483d9c2a3754cfe66905c,-1,-1
-0.430418,0.261775,0.762522,0.373239,0.567515,-0.573447,-0.478183,0.713867,-0.775683,-0.626631,-0.522233,-0.592302,0.095951,0.705627,-0.591847,-0.293208,-0.687047,-0.732666,-0.316947,51147addc2a3754cfe668678,-1,-1
1.531796,0.565369,0.853111,0.373239,-0.13301,-0.352505,-0.368309,0.602697,-0.758776,-0.626631,-0.522233,0.619121,0.72733,0.388912,-0.591847,-0.293208,-0.010332,-0.732666,-0.316947,511480adc2a3754cfe668d94,-1,-1
-0.127373,1.354116,1.054836,0.373239,-0.522281,-1.015331,0.284318,0.602697,-0.775683,-0.692934,-0.594027,-0.592302,0.411641,0.072198,-0.988429,-0.798606,-0.687047,-0.210133,-0.316947,51148624c2a3754cfe669446,-1,-1
-1.581987,1.411366,-0.967343,0.373239,-0.722928,-0.794389,1.691222,0.171795,-0.83996,-0.940938,-1.073596,-0.188494,0.411641,-0.244516,-0.591847,-0.798606,-0.687047,0.312401,-0.316947,511488bcc2a3754cfe669793,-1,-1
0.796913,0.662189,0.135739,0.373239,-0.259517,-1.015331,-0.619524,0.885056,-0.758776,-0.692934,-0.594027,-0.188494,8.303883,8.306771,-0.988429,-0.798606,-0.687047,-0.732666,-0.316947,511482bac2a3754cfe668f43,1,-1
