@relation CityBeatEvents
@attribute AvgCaptionLen real
@attribute AvgPhotoDis real
@attribute AvgPhotoDisbyCap real
@attribute CaptionPercentage real
@attribute PeopleNumber real
@attribute PredictedStd real
@attribute TopWordPopularity real
@attribute Zscore real
@attribute Entropy real
@attribute TheRatioOfPeopleToPhoto real
@attribute diff_AvgPhotoDis real
@attribute diff_TopWordPopularity real
@attribute diff_Entropy real
@attribute tfidf1 real
@attribute tfidf2 real
@attribute tfidf3 real
@attribute NumberOfHashtages1 real
@attribute NumberOfHashtages2 real
@attribute NumberOfHashtages3 real
@attribute NumberOfPhotsoContaingTopWord1 real
@attribute NumberOfPhotsoContaingTopWord2 real
@attribute NumberOfPhotsoContaingTopWord3 real
@attribute ID string
@attribute label {1,-1}
@data
37.3 , 0.137268995886 , 608.688781219 , 1.0 , 10 , 1.78465336887 , 0.233333333333 , 5.32656946884 , 2.80004461848 , 1.0 , 0.117268995886 , 0.0956701081524 , 0.358110197442 , 1.72824818301 , 0.605522151291 , 0.605522151291 , 0.5 , 0.333333333333 , 0.0 , 4 , 3 , 1 , 51148a6cc2a3754cfe669960 , 1
18.6 , 0.00891482392806 , 231.680698116 , 1.0 , 10 , 2.81010791547 , 0.4 , 5.7739281148 , 2.2450986816 , 1.0 , -0.281140132217 , 4.40999945165 , 0.370329036054 , 1.08981714187 , 0.475593852878 , 0.368809789878 , 0.111111111111 , 0.666666666667 , 0.0 , 9 , 3 , 1 , 51147c8bc2a3754cfe6687e2 , 1
27.8 , 0.240969323003 , 509.730531138 , 1.0 , 10 , 2.35189042161 , 0.366666666667 , 4.24604537903 , 2.7528553052 , 1.0 , -0.0871318010826 , 4.07818028358 , 0.409806595235 , 3.02761075646 , 1.0432599389 , 1.02484925499 , 1.2 , 1.0 , 1.0 , 5 , 5 , 5 , 51147f9ac2a3754cfe668c31 , 1
75.7 , 0.150286764039 , 647.679388288 , 1.0 , 10 , 1.48357918304 , 0.2 , 4.04024079911 , 2.71532669877 , 1.0 , 0.130286764039 , 0.0378279542954 , 0.438139818691 , 1.12995128096 , 1.08981714187 , 0.980508400594 , 4.0 , 4.0 , 0.0 , 2 , 2 , 2 , 51148d70c2a3754cfe669ea6 , 1
50.7 , 0.223640540721 , 625.876286863 , 1.0 , 10 , 6.92265717723 , 0.266666666667 , 3.48752752123 , 2.7528553052 , 1.0 , 0.203640540721 , 0.0746312324879 , 0.39240735841 , 1.44073756332 , 1.3051420262 , 0.62375430697 , 0.666666666667 , 0.666666666667 , 0.0 , 3 , 3 , 2 , 51147969c2a3754cfe66850e , 1
42.6 , 0.395236541666 , 500.653689894 , 1.0 , 10 , 2.4846900849 , 0.433333333333 , 4.42870830155 , 2.81533377929 , 1.0 , 0.0631744205909 , 5.83898793439 , 0.788731368922 , 0.972266587711 , 0.836683867202 , 0.666134145633 , 0.833333333333 , 0.8 , 1.0 , 6 , 5 , 2 , 51147a63c2a3754cfe6685e4 , 1
60.6 , 0.219796999024 , 643.365629393 , 1.0 , 10 , 1.51765030688 , 0.133333333333 , 4.7951185022 , 2.80004461848 , 1.0 , 0.199796999024 , 0.00847038671813 , 0.358110197442 , 0.669434262362 , 0.62375430697 , 0.590107083308 , 1.0 , 1.0 , 0.0 , 2 , 1 , 1 , 51148d4fc2a3754cfe669e7a , 1
41.2 , 0.200084148891 , 660.905420221 , 1.0 , 10 , 0.63382674611 , 0.133333333333 , 14.72472183 , 2.76031369731 , 1.0 , 0.180084148891 , 0.0169095923038 , 0.401033296874 , 0.62375430697 , 0.590107083308 , 0.554439588914 , 1.66666666667 , 1.0 , 0.0 , 3 , 1 , 1 , 5114a47fc2a3754cfe66bb07 , 1
51.7 , 0.106140774013 , 651.369933208 , 1.0 , 10 , 1.67373936629 , 0.2 , 5.39258723728 , 2.53585777592 , 1.0 , -0.11823140189 , 3.23775310748 , 0.247906248267 , 0.864124091505 , 0.605522151291 , 0.554439588914 , 1.0 , 2.0 , 0.0 , 2 , 2 , 2 , 51148abfc2a3754cfe6699ab , 1
41.3 , 0.239793409094 , 563.600529038 , 1.0 , 10 , 3.64514731633 , 0.4 , 4.41285726587 , 2.86032077783 , 1.0 , -0.0789216373608 , 4.02627032726 , 0.317715831778 , 1.2619855015 , 1.07979460213 , 0.742902886203 , 0.2 , 0.25 , 1.33333333333 , 5 , 4 , 3 , 511478c8c2a3754cfe6684a9 , 1
