@relation CityBeatEvents
@attribute AvgCaptionLen real
@attribute stat_MinPhotoDis real
@attribute stat_MaxPhotoDis real
@attribute stat_StdPhotoDis real
@attribute AvgPhotoDis real
@attribute stat_MedianPhotoDis real
@attribute stat_MinPhotoDisbyCap real
@attribute stat_MaxPhotoDisbyCap real
@attribute stat_StdPhotoDisbyCap real
@attribute MeanPhotoDisbyCap real
@attribute stat_MedianPhotoDisbyCap real
@attribute CaptionPercentage real
@attribute PredictedStd real
@attribute TopWordPopularity real
@attribute Zscore real
@attribute Entropy real
@attribute diff_AvgPhotoDis real
@attribute diff_TopWordPopularity real
@attribute diff_Entropy real
@attribute tfidf1 real
@attribute tfidf2 real
@attribute tfidf3 real
@attribute NumberOfHashtages1 real
@attribute NumberOfHashtages2 real
@attribute NumberOfHashtages3 real
@attribute NumberOfPhotsoContaingTopWord1 real
@attribute NumberOfPhotsoContaingTopWord2 real
@attribute NumberOfPhotsoContaingTopWord3 real
@attribute Top10PhotoLocationNameFreq real
@attribute Top3PhotoLocationNameSame real
@attribute ID string
@attribute label {1,-1}
@data
50.2857142857 , 0.053881213389 , 0.147703447258 , 0.0322195995207 , 0.0778920251281 , 0.0568236868842 , 5.77561799959 , 10.0 , 1.27195541644 , 6.77838464313 , 6.46014795285 , 0.875 , 0.880226838511 , 0.380952380952 , 7.87438548496 , 2.69619904981 , -1.92210797487 , 0.117192662276 , 0.42855662227 , 2.5950949341 , 2.33532244686 , 0.891077581386 , 1.5 , 2.0 , 2.0 , 6 , 4 , 2 , 0.25 , 0 , 51148c29c2a3754cfe669ce4 , 1
44.6666666667 , 0.160828729594 , 0.57397889531 , 0.102032197706 , 0.248685332468 , 0.204815138357 , 6.78535550025 , 10.0 , 0.947020958288 , 7.54913547015 , 7.1644665241 , 0.9375 , 5.75981729468 , 0.0925925925926 , 4.54465599865 , 2.36613130675 , -1.75131466753 , 0.165841490048 , 0.780309097891 , 0.538241912259 , 0.432859695951 , 0.40506072853 , 2.33333333333 , 2.7 , 1.11111111111 , 12 , 10 , 9 , 3.9 , 0 , 511479acc2a3754cfe668542 , 1
44.0416666667 , 0.138720209934 , 0.415408800951 , 0.087197407981 , 0.211424917278 , 0.169519953823 , 6.16995226055 , 10.0 , 0.948916815853 , 7.3130103524 , 6.99277160781 , 0.96 , 1.07558102931 , 0.208333333333 , 6.7012345227 , 2.47702497354 , -1.78857508272 , 0.180321532227 , 0.661609906038 , 1.34051858309 , 0.941626067467 , 0.778154525298 , 3.5 , 2.6 , 4.6 , 6 , 5 , 5 , 0.7 , 0 , 51148da1c2a3754cfe669ef9 , 1
70.5882352941 , 0.179555317834 , 0.387095562693 , 0.0733416410226 , 0.244155704491 , 0.212202962346 , 6.50083782773 , 7.90720129775 , 0.383091014096 , 7.03075780443 , 6.92730731234 , 1.0 , 1.51765030688 , 0.254901960784 , 4.7951185022 , 2.75700414072 , -1.75584429551 , 0.126869476782 , 0.406721955298 , 1.14580507752 , 0.996720722234 , 0.787569720426 , 4.4 , 4.75 , 4.25 , 5 , 4 , 4 , 0.1 , 0 , 51148d4fc2a3754cfe669e7a , 1
40.6333333333 , 0.21572117681 , 0.457654439434 , 0.0819063888124 , 0.300703842856 , 0.272769098746 , 5.95203054107 , 10.0 , 1.13681203371 , 7.36726091682 , 7.04028427315 , 0.909090909091 , 1.17851532484 , 0.188888888889 , 6.31685100617 , 2.67803170849 , -1.69929615714 , 0.173422968748 , 0.468253968254 , 1.42678155863 , 0.697236556002 , 0.305925629608 , 0.888888888889 , 1.6 , 1.0 , 9 , 5 , 3 , 0.1 , 0 , 51148777c2a3754cfe669601 , 1
38.5555555556 , 0.0950849436943 , 0.355594146616 , 0.084524601273 , 0.152172413898 , 0.109125853846 , 6.71767865678 , 10.0 , 0.915749418006 , 7.35470983332 , 6.97112958296 , 0.9 , 0.678755937083 , 0.185185185185 , 9.35812148184 , 2.79258622637 , -1.8478275861 , 0.029590563454 , 0.349484258978 , 1.19157207386 , 1.1014687165 , 0.672802390323 , 1.0 , 1.0 , 2.0 , 2 , 2 , 1 , 0.4 , 0 , 5114940cc2a3754cfe66a752 , 1
53.3333333333 , 0.159494639838 , 0.556635479616 , 0.103722707807 , 0.248506869301 , 0.208658545796 , 5.67602030785 , 10.0 , 1.18143739144 , 7.3236866979 , 7.04745075836 , 0.89010989011 , 6.73045955632 , 0.232510288066 , 5.06981212303 , 2.24193552361 , -1.7514931307 , 0.478700799282 , 0.987411965468 , 1.47701258109 , 0.978278592381 , 0.601194022154 , 2.92307692308 , 3.34042553191 , 4.96153846154 , 65 , 47 , 26 , 6.0 , 0 , 51147967c2a3754cfe668503 , 1
50.5714285714 , 0.218489857323 , 0.603945709075 , 0.106185928272 , 0.30527135223 , 0.253855865404 , 6.85575686127 , 10.0 , 1.08279401175 , 7.73544592685 , 7.23407259194 , 0.875 , 3.1267855811 , 0.0873015873016 , 6.57369572324 , 2.67277769124 , -1.69472864777 , 0.0555415386421 , 0.539023178417 , 0.27464473526 , 0.257093952888 , 0.240378190762 , 2.2 , 2.2 , 1.0 , 5 , 5 , 3 , 0.8 , 0 , 511478cac2a3754cfe6684ac , 1
43.7692307692 , 0.120841549388 , 0.315347496745 , 0.066942879904 , 0.18331635037 , 0.161796495819 , 6.9008475237 , 10.0 , 1.16046084279 , 7.72612819293 , 7.06304400568 , 0.866666666667 , 1.68024283126 , 0.102564102564 , 5.1972533455 , 2.30874623059 , -1.81668364963 , 0.00958285804358 , 0.809947546419 , 0.771348867397 , 0.479811005362 , 0.479811005362 , 2.0 , 2.0 , 0.0 , 2 , 1 , 1 , 0.5 , 0 , 51148d88c2a3754cfe669eb1 , 1
47.6923076923 , 0.190555464912 , 0.670285244999 , 0.139074661237 , 0.281415505344 , 0.202940594997 , 6.67524112953 , 10.0 , 1.03377575644 , 7.5214323801 , 7.2037447362 , 0.866666666667 , 1.36305848166 , 0.179487179487 , 4.0942689504 , 2.66937214859 , -1.71858449466 , 0.053541965408 , 0.462967920752 , 0.959622010724 , 0.948302622428 , 0.83832087836 , 0.5 , 0.5 , 0.5 , 4 , 2 , 2 , 0.1 , 0 , 51148d1ac2a3754cfe669e26 , 1
