@relation CityBeatEvents-weka.filters.unsupervised.attribute.Standardize

@attribute AvgCaptionLen numeric
@attribute AvgPhotoDis numeric
@attribute AvgPhotoDisbyCap numeric
@attribute CaptionPercentage numeric
@attribute PredictedStd numeric
@attribute TopWordPopularity numeric
@attribute Zscore numeric
@attribute Entropy numeric
@attribute TheRatioOfPeopleToPhoto numeric
@attribute tfidf1 numeric
@attribute tfidf2 numeric
@attribute tfidf3 numeric
@attribute NumberOfHashtages1 numeric
@attribute NumberOfHashtages2 numeric
@attribute NumberOfHashtages3 numeric
@attribute NumberOfPhotsoContaingTopWord1 numeric
@attribute NumberOfPhotsoContaingTopWord2 numeric
@attribute NumberOfPhotsoContaingTopWord3 numeric
@attribute Top10PhotoLocationNameFreq numeric
@attribute Top3PhotoLocationNameSame numeric
@attribute ID string
@attribute label {1,-1}

@data
0.426236,0.792249,0.051549,-0.368189,-0.383838,0.267576,-0.355543,0.190683,-0.188114,0.248931,-0.247724,-0.012664,-0.183664,0.337557,1.483311,0.058374,0.562319,-0.395768,1.226265,-0.137686,51148d2dc2a3754cfe669e3e,1
-0.644277,-1.627582,1.032875,0.633483,-0.171255,-0.850997,0.070499,-1.998634,0.001712,-0.504886,-0.607313,-0.636783,-0.454555,-0.451379,-0.199321,-0.719492,-0.506958,-0.395768,2.983418,-0.137686,51148d89c2a3754cfe669eb5,1
-0.041486,0.28892,0.05407,0.633483,0.310251,0.46211,0.146507,-0.084765,0.855925,-0.358115,-0.560616,-0.523713,-0.454555,-0.451379,-0.439697,0.836239,0.562319,-0.395768,-0.530888,-0.137686,51147f99c2a3754cfe668c2b,1
0.837585,-1.958181,-0.007648,0.633483,-0.171254,1.775217,-0.470641,-1.089986,-0.377939,2.531658,1.719611,1.942978,0.466473,0.442748,0.922433,2.39197,3.77015,2.836177,-0.530888,-0.137686,51148d8bc2a3754cfe669ec3,1
0.305119,-2.509905,0.985102,0.633483,-0.176311,0.46211,0.259227,-2.646102,0.238993,0.023351,-0.446561,-0.583079,-0.183664,0.074578,-0.439697,0.058374,0.562319,1.220205,1.226265,-0.137686,51148abfc2a3754cfe6699ab,1
-0.337858,-3.370911,0.000413,0.633483,0.536939,4.401431,-0.17798,-4.661889,-0.330482,5.729208,-0.507676,-0.583079,-0.319109,-0.31989,-0.119196,4.725566,6.97798,2.836177,3.861994,7.258656,51147fddc2a3754cfe668c4b,1
-1.415626,-1.909961,0.115874,-0.368189,-0.171252,-0.705096,0.335723,-1.596018,-0.283026,-0.603989,-0.731681,-0.757419,-0.454555,-0.451379,-0.439697,-0.719492,-0.506958,-0.395768,1.226265,-0.137686,51148d87c2a3754cfe669eae,1
-0.739719,-3.428136,-0.743616,0.633483,-0.791285,5.714538,4.329118,-2.183354,1.283031,7.439232,8.814861,12.209873,-0.183664,-0.27606,-0.295472,3.947701,4.839426,6.068122,1.226265,-0.137686,51148c2ac2a3754cfe669cf1,1
-0.307718,-0.943157,0.69221,0.633483,0.794327,2.212919,0.024028,-0.396652,0.333906,2.837834,4.171454,1.913702,-0.29202,-0.451379,-0.359572,2.39197,1.631596,2.836177,-0.530888,-0.137686,51147d55c2a3754cfe6688e9,1
-0.478509,-2.566302,-0.019619,0.633483,3.387832,3.963729,-0.465394,-1.998634,1.94742,4.81678,3.393043,4.410831,-0.377157,-0.385635,-0.439697,3.947701,2.700873,2.836177,2.104841,-0.137686,51147966c2a3754cfe668500,1
-1.067486,-0.912448,-1.467478,-1.369861,-0.098392,0.571536,-0.749859,0.057672,-0.472851,-0.291305,-0.047331,0.013139,-0.364258,-0.451379,-0.199321,0.836239,-0.506958,-0.395768,-0.530888,-0.137686,51148549c2a3754cfe6692cf,1
-0.573951,-0.546905,1.038846,0.633483,-0.639572,-0.850997,1.651874,-0.866245,0.286449,-0.504886,-0.507676,-0.382108,-0.183664,-0.451379,-0.439697,-0.719492,-0.506958,-0.395768,1.226265,-0.137686,51148da2c2a3754cfe669f10,1
-0.096742,0.572405,0.889325,0.633483,1.247889,0.899812,-0.135596,0.920456,1.188119,0.235129,0.434753,0.640523,-0.454555,-0.056911,-0.319509,0.836239,0.562319,1.220205,0.347688,-0.137686,51147bdbc2a3754cfe668749,1
-0.297672,-2.724378,0.075912,0.633483,-0.401337,0.46211,0.940877,-2.183354,0.381362,0.41334,-0.507676,-0.523713,-0.319109,-0.31989,-0.319509,0.058374,0.562319,1.220205,-0.530888,-0.137686,51148d6dc2a3754cfe669e91,1
-0.47237,-2.363922,-0.113986,-0.368189,-0.587418,1.726583,0.56852,-3.62763,-0.283026,0.234352,0.138134,0.197989,-0.237842,-0.188401,-0.319509,2.39197,1.631596,1.220205,3.861994,7.258656,51148defc2a3754cfe669f4d,1
-0.523719,0.724003,0.781868,0.633483,1.086001,1.337515,-0.636122,-0.635661,1.04575,2.236643,0.398598,-0.382108,-0.454555,-0.451379,-0.319509,0.836239,1.631596,1.220205,1.226265,7.258656,51147abac2a3754cfe668648,1
-0.2173,-0.799931,0.407946,0.633483,1.356316,3.088324,-0.205974,-0.396652,0.903381,0.897693,1.433761,0.478831,-0.400377,-0.385635,-0.119196,2.39197,2.700873,2.836177,2.104841,-0.137686,511478c8c2a3754cfe6684a9,1
