@relation CityBeatEvents-weka.filters.unsupervised.attribute.Standardize_predicted

@attribute AvgCaptionLen numeric
@attribute AvgPhotoDis numeric
@attribute AvgPhotoDisbyCap numeric
@attribute CaptionPercentage numeric
@attribute PredictedStd numeric
@attribute TopWordPopularity numeric
@attribute Zscore numeric
@attribute Entropy numeric
@attribute diff_AvgPhotoDis numeric
@attribute diff_TopWordPopularity numeric
@attribute diff_Entropy numeric
@attribute tfidf1 numeric
@attribute tfidf2 numeric
@attribute tfidf3 numeric
@attribute NumberOfHashtages1 numeric
@attribute NumberOfHashtages2 numeric
@attribute NumberOfHashtages3 numeric
@attribute NumberOfPhotsoContaingTopWord1 numeric
@attribute NumberOfPhotsoContaingTopWord2 numeric
@attribute NumberOfPhotsoContaingTopWord3 numeric
@attribute Top10PhotoLocationNameFreq numeric
@attribute Top3PhotoLocationNameSame numeric
@attribute ID string
@attribute predictedlabel {1,-1}
@attribute label {1,-1}

@data
-0.132361,1.013439,-0.078535,1.389073,-0.12775,-0.799299,0.146789,1.246528,1.013439,-0.310172,-1.288218,-1.003415,-0.954014,-0.901747,0.083494,0.06733,-0.468927,-0.155478,-0.008208,-0.318298,-0.130407,-0.063925,51147e3ac2a3754cfe668a3f,-1,-1
0.007438,1.14365,-0.026426,1.389073,-0.091631,-0.433629,0.333091,0.959052,1.14365,-0.087604,-1.012291,-1.061961,-1.098179,-1.067146,-0.685111,-0.10725,-0.660559,0.043233,0.344537,0.136149,-0.296247,-0.063925,5114837dc2a3754cfe669023,-1,-1
-0.511711,0.443136,-0.10071,-0.650501,0.979743,-1.302095,-0.572976,0.841638,0.443136,-0.527096,-0.809248,-0.80972,-0.709079,-0.666043,-0.685111,-0.456411,0.10597,-0.35419,-0.360953,-0.318298,-0.130407,-0.063925,51147a88c2a3754cfe66861b,-1,-1
-0.328885,-1.453016,0.071742,-0.067765,0.331672,-0.332937,-0.125956,-0.344181,-1.453016,1.100634,0.399629,0.682693,-0.960709,-1.054994,-0.099507,0.172078,0.010154,0.639369,-0.008208,0.136149,-0.130407,-0.063925,51148a6ec2a3754cfe669964,-1,-1
-0.382318,-0.036055,-0.066154,0.417848,-0.69276,-0.449527,-0.342564,0.062276,-0.036055,-0.061937,0.001614,-0.081827,-0.914681,-0.901747,-0.685111,-0.665908,-0.660559,-0.155478,-0.008208,0.136149,-0.130407,-0.063925,51148af2c2a3754cfe669a38,-1,-1
-0.29232,-0.727572,-0.165664,-0.650501,-0.403337,-0.056035,-0.843775,0.229509,-0.727572,-0.527096,-0.241654,0.417012,0.935592,0.858725,-0.46551,-0.037418,-0.468927,-0.35419,-0.360953,-0.318298,-0.296247,-0.063925,511487ccc2a3754cfe66963f,-1,-1
-0.173332,-0.631902,-0.022674,0.633675,-0.441067,-1.484851,0.640358,0.530462,-0.631902,-0.434042,-0.551469,-0.802304,-1.237638,-1.227146,-0.575311,-0.246915,-0.660559,-0.155478,-0.360953,-0.318298,-0.130407,-0.063925,51148a06c2a3754cfe6698f7,-1,-1
-0.128656,0.913363,-0.147545,0.539251,-0.579348,1.076748,-0.572806,1.00282,0.913363,0.057398,-0.984102,-0.252115,-0.003963,0.122337,-0.575311,-0.456411,-0.468927,-0.155478,-0.008208,0.136149,-0.296247,-0.063925,511486dec2a3754cfe66954a,-1,-1
0.393818,-0.798475,-0.160101,-0.067765,-0.797976,-0.332937,0.847267,0.318963,-0.798475,-0.342673,-0.267371,-0.400809,-0.129717,-0.087898,-0.685111,-0.665908,-0.660559,0.043233,-0.360953,-0.318298,-0.296247,-0.063925,51148b55c2a3754cfe669ab4,-1,-1
-0.541628,0.162483,0.181923,0.806338,0.834465,-1.138471,-0.698836,0.219673,0.162483,0.050875,-0.157222,-0.979084,-1.485564,-1.526101,-0.685111,-0.351663,-0.660559,0.043233,-0.008208,0.136149,-0.130407,-0.063925,51147c41c2a3754cfe6687ad,-1,-1
0.07747,-1.000979,-0.140378,0.029357,0.018962,1.030274,-0.39278,-3.139255,-1.000979,0.544202,2.779291,-0.125158,-0.075305,-0.314093,-0.172708,-0.351663,-0.277295,0.043233,-0.008208,0.136149,0.698794,-0.063925,51147ec2c2a3754cfe668ae7,-1,-1
0.354241,-0.552739,-0.165209,0.461994,-0.312165,-0.554459,0.251541,0.110446,-0.552739,-0.527096,-0.103967,-0.131052,0.103754,0.256432,0.193295,-0.665908,-0.660559,-0.35419,-0.360953,-0.318298,-0.296247,-0.063925,511484dac2a3754cfe66920d,-1,-1
1.522011,-1.167792,-0.024285,0.964162,-0.121803,0.34126,-0.114774,-2.555363,-1.167792,0.537229,2.517386,-0.837627,-0.709691,-0.815182,-0.377669,1.58618,2.693007,0.440657,0.697282,0.136149,0.035433,-0.063925,511480cac2a3754cfe668d98,-1,-1
0.031237,-1.481441,-0.13116,-0.87712,0.137496,-0.174707,-0.679757,-1.248552,-1.481441,-0.221191,1.129626,-0.23009,-0.011971,-0.366486,0.083494,0.06733,-0.660559,-0.155478,-0.008208,-0.318298,0.367113,-0.063925,51147f0bc2a3754cfe668b2e,-1,-1
0.32714,0.940231,-0.100456,0.789199,1.128663,-0.471388,-0.755031,0.718388,0.940231,-0.321306,-0.72901,-0.769113,-0.662371,-0.567147,-0.46551,0.276827,-0.660559,-0.155478,-0.008208,-0.318298,-0.296247,-0.063925,51147aa6c2a3754cfe668623,-1,-1
-0.034212,-0.383041,-0.16637,0.255977,-0.775086,0.774672,1.300106,1.090558,-0.383041,-0.237335,-1.104431,1.196247,0.842176,1.068392,0.742298,1.219561,1.064132,-0.155478,-0.360953,-0.318298,-0.277821,-0.063925,511492bbc2a3754cfe66a5cb,-1,-1
0.581773,1.286171,-0.130298,0.029357,-0.421841,0.51907,-0.339304,0.774745,1.286171,-0.169266,-0.741408,0.420105,-0.258687,-0.265789,-0.026307,-0.246915,-0.277295,-0.155478,-0.008208,0.136149,-0.296247,-0.063925,511485efc2a3754cfe6693de,-1,-1
-0.113133,0.444189,-0.130171,-1.831307,-0.030803,-1.014543,-0.328757,0.086714,0.444189,-0.527096,-0.05252,-0.57076,-0.351097,-0.265789,-0.685111,2.267043,2.022294,-0.35419,-0.360953,-0.318298,-0.130407,-0.063925,51147eacc2a3754cfe668ad5,-1,-1
-0.02072,0.892247,-0.023519,0.165329,0.633648,-0.735704,-0.067148,-0.113328,0.892247,-0.212165,0.015286,-0.618544,-1.098179,-1.067146,-0.685111,-0.561159,-0.085662,-0.155478,-0.008208,0.136149,-0.130407,-0.063925,51148242c2a3754cfe668ea6,-1,-1
-0.172299,0.127934,-0.166213,0.461994,-0.438468,1.439238,0.419538,1.009406,0.127934,0.070799,-1.002316,-0.221577,0.103754,0.256432,0.303095,0.276827,-0.660559,-0.155478,-0.008208,0.136149,-0.462088,-0.063925,51148fdbc2a3754cfe66a215,-1,-1
-0.205485,-0.033323,0.136593,-0.103298,0.362226,0.110107,-0.048792,-1.594512,-0.033323,1.524081,1.661696,-1.162079,-1.30095,-1.562384,0.224666,0.24191,0.489235,0.838081,1.402772,0.590597,-0.130407,-0.063925,51148246c2a3754cfe668eba,-1,-1
-0.616491,-0.514184,-0.05136,0.925534,-0.204573,-1.282316,0.434018,0.187763,-0.514184,-0.414918,-0.111308,-1.101799,-1.078426,-1.044483,-0.575311,-0.665908,-0.660559,-0.155478,-0.360953,-0.318298,-0.296247,-0.063925,51147a4dc2a3754cfe668588,-1,-1
-0.305605,0.284496,0.180873,1.097706,-0.121385,-0.984472,-0.150803,0.19161,0.284496,0.104628,0.030517,-1.302629,-1.508352,-1.537734,-0.319109,-0.526243,-0.660559,0.043233,0.344537,0.136149,-0.130407,-0.063925,51147e24c2a3754cfe668a10,-1,-1
0.676016,-1.411019,-0.112542,-0.757847,-0.513961,0.110107,-0.116752,-0.402457,-1.411019,-0.056487,0.478707,0.249771,-0.545632,-0.444925,2.169708,2.057547,-0.660559,-0.155478,-0.008208,0.136149,0.035433,-0.063925,51148a27c2a3754cfe669925,-1,-1
-0.895002,-0.436244,-0.154669,1.389073,0.094803,0.774672,-0.768626,0.229509,-0.436244,0.104302,-0.241654,0.113481,0.103754,0.311822,0.412896,-0.142166,-0.564743,-0.155478,-0.008208,0.136149,-0.130407,-0.063925,51149035c2a3754cfe66a25a,-1,-1
0.870926,0.600602,-0.146648,-0.17983,-0.568424,1.076748,0.817233,0.101015,0.600602,-0.102394,-0.106936,0.342516,0.601219,0.266185,-0.575311,-0.561159,-0.181478,-0.155478,-0.008208,0.136149,-0.296247,-0.063925,511488d3c2a3754cfe6697b6,-1,-1
