@relation CityBeatEvents
@attribute AvgCaptionLen real
@attribute AvgPhotoDis real
@attribute AvgPhotoDisbyCap real
@attribute CaptionPercentage real
@attribute PredictedStd real
@attribute TopWordPopularity real
@attribute Zscore real
@attribute Entropy real
@attribute tfidf1 real
@attribute tfidf2 real
@attribute tfidf3 real
@attribute NumberOfHashtages1 real
@attribute NumberOfHashtages2 real
@attribute NumberOfHashtages3 real
@attribute NumberOfPhotsoContaingTopWord1 real
@attribute NumberOfPhotsoContaingTopWord2 real
@attribute NumberOfPhotsoContaingTopWord3 real
@attribute Top10PhotoLocationNameFreq real
@attribute Top3PhotoLocationNameSame real
@attribute ID string
@attribute label {1,-1}
@data
38.4 , 0.15349179378 , 593.185851488 , 1.0 , 1.07784922979 , 0.233333333333 , 8.32555518294 , 2.49612685475 , 2.14482973294 , 1.18021416662 , 0.62375430697 , 1.4 , 2.0 , 4.0 , 5 , 2 , 1 , 0.3 , 0 , 51148da2c2a3754cfe669f10 , 1
31.0 , 0.339484930723 , 634.105260953 , 1.0 , 3.50567799116 , 0.166666666667 , 4.56107442385 , 3.01057093427 , 0.827815394072 , 0.605522151291 , 0.605522151291 , 0.75 , 0.0 , 1.0 , 4 , 1 , 1 , 0.2 , 0 , 51147bdbc2a3754cfe668749 , 1
47.7 , 0.0823444368615 , 501.732918326 , 1.0 , 1.38428910741 , 0.233333333333 , 6.82816754185 , 2.56371698713 , 1.56237709576 , 1.08981714187 , 0.669434262362 , 1.0 , 0.5 , 3.0 , 4 , 2 , 2 , 0.1 , 0 , 51148d6dc2a3754cfe669e91 , 1
37.1111111111 , 0.113617253504 , 476.226170943 , 0.9 , 1.14493518963 , 0.296296296296 , 6.0439703259 , 2.39428114771 , 0.960137879449 , 0.75299923886 , 0.693060341078 , 0.8 , 1.0 , 0.5 , 5 , 3 , 2 , 0.6 , 1 , 51148defc2a3754cfe669f4d , 1
54.9 , 0.306170118246 , 598.617662704 , 1.0 , 3.29744336764 , 0.333333333333 , 3.50694901975 , 2.86557685521 , 2.49501722788 , 1.09159486789 , 0.590107083308 , 0.75 , 0.75 , 0.5 , 4 , 4 , 2 , 0.4 , 1 , 51147abac2a3754cfe668648 , 1
43.7 , 0.310956365971 , 602.324246623 , 1.0 , 3.64514731633 , 0.266666666667 , 4.41285726587 , 2.92585301456 , 0.7571913009 , 0.742902886203 , 0.590107083308 , 0.0 , 2.0 , 1.33333333333 , 3 , 3 , 3 , 0.4 , 0 , 511478c8c2a3754cfe6684a9 , 1
39.7 , 0.0707932823068 , 298.902711398 , 1.0 , 0.880226838511 , 0.766666666667 , 13.8501053456 , 2.61531961825 , 5.19078549641 , 3.02761075646 , 2.84006978992 , 0.6 , 0.6 , 1.2 , 10 , 10 , 5 , 0.1 , 0 , 51148c29c2a3754cfe669ce6 , 1
38.7 , 0.310046919556 , 492.076681219 , 1.0 , 2.69742457748 , 0.266666666667 , 3.61883300823 , 2.90530777637 , 1.57398319068 , 0.864124091505 , 0.714062972625 , 0.75 , 1.0 , 1.0 , 4 , 3 , 3 , 0.1 , 0 , 51147f0dc2a3754cfe668b31 , 1
74.8 , 0.0972393347202 , 627.412766932 , 1.0 , 1.31219401586 , 0.266666666667 , 6.32411884137 , 2.56371698713 , 2.08316946101 , 1.08981714187 , 0.889156720095 , 1.5 , 1.0 , 0.0 , 4 , 2 , 2 , 0.1 , 0 , 51148d6dc2a3754cfe669e8b , 1
30.4 , 0.378925101639 , 510.389656415 , 1.0 , 4.2701548 , 0.166666666667 , 3.03233671103 , 2.86557685521 , 0.725494655393 , 0.544908570934 , 0.501376763808 , 0.0 , 0.0 , 0.0 , 2 , 2 , 1 , 0.3 , 0 , 511479e7c2a3754cfe668564 , 1
52.8 , 0.234016453333 , 625.13276497 , 1.0 , 2.74565716457 , 0.2 , 4.35154164976 , 2.7528553052 , 0.933785430358 , 0.876249015868 , 0.64836215923 , 0.5 , 0.5 , 0.0 , 2 , 2 , 2 , 0.1 , 0 , 51148288c2a3754cfe668edd , 1
24.9 , 0.173719993181 , 167.795060398 , 1.0 , 1.14578266777 , 0.866666666667 , 5.21312595164 , 2.68732306847 , 3.97169439989 , 2.30180353766 , 0.86728624979 , 0.5 , 0.444444444444 , 0.25 , 10 , 9 , 8 , 0.5 , 1 , 5114a33bc2a3754cfe66b988 , 1
49.2 , 0.348618875012 , 590.892083081 , 1.0 , 2.30762255849 , 0.3 , 4.79973411028 , 2.7528553052 , 1.29672431846 , 0.867346177361 , 0.62375430697 , 0.25 , 0.0 , 0.0 , 4 , 3 , 2 , 0.1 , 0 , 51148245c2a3754cfe668eb2 , 1
44.9 , 0.204587039644 , 641.295849105 , 1.0 , 1.81670929946 , 0.2 , 3.68468385103 , 2.56371698713 , 1.29618613726 , 0.62375430697 , 0.605522151291 , 1.0 , 0.666666666667 , 0.0 , 3 , 3 , 1 , 0.2 , 0 , 51148a80c2a3754cfe66997f , 1
54.0 , 0.243545508553 , 613.791315097 , 1.0 , 1.83465038077 , 0.266666666667 , 4.94567548241 , 2.96558393573 , 1.72824818301 , 0.951187705756 , 0.576753944046 , 1.5 , 2.0 , 0.5 , 4 , 2 , 2 , 0.2 , 0 , 51148a8dc2a3754cfe669997 , 1
42.4 , 0.329756548335 , 392.144117449 , 1.0 , 6.98869043208 , 0.2 , 3.18554161879 , 2.86032077783 , 0.870094684134 , 0.870094684134 , 0.56497564048 , 1.0 , 0.0 , 0.0 , 2 , 2 , 2 , 0.1 , 0 , 5114796ac2a3754cfe668511 , 1
35.2 , 0.0454954961303 , 584.471383842 , 1.0 , 1.07646024347 , 0.333333333333 , 10.217613523 , 2.39428114771 , 2.21775835566 , 1.60862229971 , 1.05640632494 , 0.25 , 1.33333333333 , 0.0 , 4 , 3 , 3 , 0.3 , 0 , 51148da2c2a3754cfe669f06 , 1
56.2 , 0.105274188073 , 497.895330797 , 1.0 , 1.1452201916 , 0.233333333333 , 5.38712869948 , 2.39428114771 , 2.02975690396 , 0.62375430697 , 0.62375430697 , 1.5 , 1.5 , 0.0 , 4 , 2 , 1 , 0.3 , 0 , 51148557c2a3754cfe6692d9 , 1
24.0 , 0.186236785552 , 399.714172058 , 1.0 , 0.68117346394 , 0.166666666667 , 9.29074357094 , 2.82218195864 , 1.34051858309 , 0.62672095476 , 0.61957615303 , 0.5 , 0.0 , 2.0 , 2 , 1 , 1 , 0.25 , 0 , 5114940dc2a3754cfe66a75a , 1
45.8 , 0.220271042994 , 639.429894144 , 1.0 , 1.68024249562 , 0.2 , 4.09969303684 , 2.53585777592 , 1.00275352762 , 0.62375430697 , 0.590107083308 , 2.0 , 4.0 , 4.0 , 2 , 2 , 2 , 0.5 , 0 , 51148d8ac2a3754cfe669eb9 , 1
15.9 , 0.0579096361945 , 114.593527318 , 1.0 , 5.86843189721 , 0.6 , 5.40215365069 , 2.56371698713 , 4.10931136386 , 2.31258033991 , 0 , 0.5 , 0.428571428571 , 2.0 , 10 , 7 , 1 , 0.7 , 0 , 51147952c2a3754cfe6684ee , 1
29.6 , 0.174300150145 , 653.971435624 , 1.0 , 1.68024305913 , 0.1 , 3.77193638497 , 2.60260514877 , 0.62375430697 , 0.62375430697 , 0.62375430697 , 0.0 , 1.0 , 3.0 , 1 , 1 , 1 , 0.3 , 0 , 51148d8ac2a3754cfe669ebd , 1
29.9 , 0.285369054408 , 581.518631989 , 1.0 , 2.96929391114 , 0.266666666667 , 4.61007845577 , 2.80004461848 , 1.66259620254 , 0.590107083308 , 0.554439588914 , 1.6 , 0.0 , 1.0 , 5 , 2 , 1 , 0.1 , 0 , 51147862c2a3754cfe66846c , 1
60.6 , 0.293402054534 , 635.195190667 , 1.0 , 2.9957504478 , 0.3 , 4.38127557176 , 2.7528553052 , 1.45537461258 , 1.12995128096 , 1.0284421123 , 2.66666666667 , 2.66666666667 , 2.0 , 3 , 3 , 3 , 0.2 , 0 , 51147ab9c2a3754cfe66863e , 1
60.1111111111 , 0.245994181011 , 513.154452882 , 1.0 , 0.634720125407 , 0.222222222222 , 10.8818670459 , 2.90576458466 , 1.05687522862 , 0.672802390323 , 0.605453967704 , 1.0 , 1.0 , 0.0 , 2 , 2 , 2 , 0.333333333333 , 0 , 5114a18cc2a3754cfe66b77f , 1
40.0 , 0.156554692641 , 497.726683458 , 1.0 , 2.18266007402 , 0.2 , 5.57678783445 , 2.39428114771 , 0.618678158206 , 0.590107083308 , 0.590107083308 , 2.5 , 3.0 , 4.0 , 4 , 2 , 1 , 0.1 , 0 , 51148233c2a3754cfe668e93 , 1
39.3 , 0.0575158488207 , 386.274166067 , 1.0 , 2.42146847448 , 0.433333333333 , 6.57988518896 , 2.39428114771 , 2.45146851987 , 0.983034573625 , 0.62375430697 , 1.16666666667 , 1.16666666667 , 3.0 , 6 , 6 , 1 , 0.5 , 0 , 51148308c2a3754cfe668f8e , 1
30.0 , 0.296184040291 , 214.137682551 , 0.875 , 0.887653878628 , 0.190476190476 , 4.89196396601 , 3.02863931184 , 0.865031644702 , 0.82393420578 , 0.82393420578 , 1.0 , 0.0 , 1.0 , 2 , 1 , 1 , 0.375 , 0 , 51149261c2a3754cfe66a56e , 1
47.3 , 0.127636385238 , 586.239051216 , 1.0 , 1.78465336887 , 0.3 , 5.32656946884 , 2.76031369731 , 2.16031022876 , 0.605522151291 , 0.605522151291 , 1.0 , 1.0 , 0.5 , 5 , 2 , 2 , 0.2 , 0 , 51148a6cc2a3754cfe669960 , 1
50.6 , 0.38749482311 , 619.215920038 , 1.0 , 2.7277832147 , 0.266666666667 , 5.10830290582 , 3.01057093427 , 1.00275352762 , 0.677699314974 , 0.576753944046 , 0.5 , 2.0 , 1.0 , 4 , 2 , 2 , 0.2 , 0 , 51147a64c2a3754cfe6685eb , 1
57.3 , 0.236794812148 , 606.040942729 , 1.0 , 6.92265717723 , 0.266666666667 , 3.48752752123 , 2.7528553052 , 1.44073756332 , 1.3051420262 , 1.24750861394 , 1.25 , 1.0 , 3.0 , 4 , 4 , 2 , 0.5 , 1 , 51147969c2a3754cfe66850e , 1
38.1 , 0.240285610593 , 535.211132482 , 1.0 , 2.05667305124 , 0.1 , 4.23763347412 , 2.92585301456 , 0.62375430697 , 0.576753944046 , 0.576753944046 , 4.0 , 4.0 , 3.0 , 1 , 1 , 1 , 0.2 , 0 , 51148a6dc2a3754cfe669963 , 1
65.5 , 0.33040160426 , 204.401044862 , 0.75 , 1.50406165672 , 0.277777777778 , 3.3472892634 , 2.98423416465 , 1.71297692701 , 1.51704803871 , 1.03959051162 , 4.5 , 2.5 , 8.0 , 2 , 2 , 1 , 0.125 , 0 , 51148d3ac2a3754cfe669e61 , 1
28.9 , 0.315658182 , 652.574699578 , 1.0 , 1.92394615462 , 0.1 , 4.49510694248 , 2.98476961871 , 0.62375430697 , 0.62375430697 , 0.56497564048 , 0.0 , 0.0 , 0.0 , 1 , 1 , 1 , 0.1 , 0 , 51148321c2a3754cfe668fad , 1
41.5 , 0.259649457824 , 524.335799346 , 1.0 , 2.64969140499 , 0.166666666667 , 4.16583677706 , 2.7528553052 , 0.64836215923 , 0.62375430697 , 0.62375430697 , 0.5 , 0.0 , 1.0 , 2 , 2 , 1 , 0.1 , 0 , 51148241c2a3754cfe668ea4 , 1
52.5 , 0.117357771962 , 390.276493006 , 0.888888888889 , 1.68024256569 , 0.25 , 3.57151866283 , 2.75271527898 , 1.4124391012 , 1.25344190952 , 0.959911949227 , 0.0 , 0.0 , 1.0 , 2 , 2 , 2 , 0.222222222222 , 0 , 51148d89c2a3754cfe669eb4 , 1
52.0 , 0.27114132871 , 501.615426757 , 1.0 , 2.1774615157 , 0.2 , 3.63233361713 , 2.900051699 , 1.08981714187 , 0.64637209306 , 0.62375430697 , 0.0 , 1.5 , 1.5 , 2 , 2 , 2 , 0.3 , 0 , 51147facc2a3754cfe668c48 , 1
46.8 , 0.441581532403 , 647.387938461 , 1.0 , 1.42882390486 , 0.166666666667 , 4.34893891575 , 2.86557685521 , 0.62375430697 , 0.605522151291 , 0.605522151291 , 2.5 , 0.0 , 3.0 , 2 , 2 , 1 , 0.2 , 0 , 51148657c2a3754cfe66949e , 1
21.2222222222 , 0.205942672675 , 507.643528401 , 0.9 , 2.31930050301 , 0.148148148148 , 3.54689595197 , 2.53585777592 , 1.21090793541 , 0.533606504935 , 0.48338593563 , 2.0 , 1.0 , 0.0 , 2 , 1 , 1 , 0.2 , 0 , 51147feec2a3754cfe668c51 , 1
44.3 , 0.225810095111 , 611.747693919 , 1.0 , 2.95640079824 , 0.233333333333 , 6.3449098752 , 2.900051699 , 1.44073756332 , 1.24750861394 , 1.00275352762 , 0.0 , 1.5 , 0.0 , 3 , 2 , 2 , 0.1 , 0 , 51147c35c2a3754cfe668796 , 1
34.6 , 0.233892918743 , 624.584034729 , 1.0 , 5.69636839771 , 0.166666666667 , 3.08098818365 , 3.01057093427 , 1.18048739301 , 0.62375430697 , 0.62375430697 , 0.25 , 0.0 , 0.0 , 4 , 1 , 1 , 0.2 , 0 , 511478ecc2a3754cfe6684c9 , 1
33.8888888889 , 0.200129295175 , 528.365211515 , 0.9 , 1.31706323662 , 0.111111111111 , 4.20427119336 , 2.81533377929 , 0.693060341078 , 0.672802390323 , 0.655674537009 , 2.0 , 2.0 , 0.0 , 1 , 1 , 1 , 0.1 , 0 , 51148a04c2a3754cfe6698f1 , 1
40.0 , 0.100131747988 , 173.627233134 , 0.75 , 1.06084871997 , 0.444444444444 , 6.31986914377 , 2.40926725225 , 2.94199585177 , 1.00920358549 , 0.96125657341 , 0.75 , 1.5 , 1.5 , 4 , 2 , 2 , 0.375 , 0 , 5114a32ac2a3754cfe66b944 , 1
