@relation CityBeatEvents-weka.filters.unsupervised.attribute.Remove-R23-24

@attribute AvgCaptionLen numeric
@attribute stat_StdPhotoDis numeric
@attribute AvgPhotoDis numeric
@attribute MeanPhotoDisbyCap numeric
@attribute CaptionPercentage numeric
@attribute PredictedStd numeric
@attribute TopWordPopularity numeric
@attribute Zscore numeric
@attribute Entropy numeric
@attribute diff_AvgPhotoDis numeric
@attribute diff_TopWordPopularity numeric
@attribute diff_Entropy numeric
@attribute tfidf1 numeric
@attribute tfidf2 numeric
@attribute tfidf3 numeric
@attribute NumberOfHashtages1 numeric
@attribute NumberOfHashtages2 numeric
@attribute NumberOfHashtages3 numeric
@attribute NumberOfPhotsoContaingTopWord1 numeric
@attribute NumberOfPhotsoContaingTopWord2 numeric
@attribute NumberOfPhotsoContaingTopWord3 numeric
@attribute Top10PhotoLocationNameFreq numeric
@attribute ID string
@attribute label {1,-1}

@data
39.863636,0.071117,0.11691,7.02758,0.93617,0.882702,0.242424,13.963932,2.306545,-0.163125,4.98845,0.399376,1.926661,1.155632,1.002793,1.285714,1.071429,1.076923,14,14,13,1,51148c2ac2a3754cfe669cf1,1
45.68,0.066643,0.331483,7.571742,0.925926,2.922265,0.133333,4.897249,2.904157,-0.006669,5.086393,0.598657,0.857932,0.708128,0.514996,0.666667,0,0,6,3,3,0.3,51147d55c2a3754cfe6688e9,1
46.385965,0.085147,0.270843,7.510446,0.934426,6.258274,0.134503,3.866509,2.651592,-0.020162,3.783143,0.125251,0.763241,0.534269,0.414206,1.333333,1.375,1.125,15,8,8,1.3,51147966c2a3754cfe668500,1
45.397059,0.072288,0.254759,7.738739,0.906667,3.364086,0.063725,4.132962,2.850227,-0.040948,3.24976,0.143156,0.261509,0.233869,0.197633,3,3.8,3.4,6,5,5,0.8,51147ad6c2a3754cfe668667,1
24.375,0.061722,0.230999,7.640007,0.8,1.773966,0.208333,3.267415,2.925853,-0.033761,7.212327,0.633172,0.720942,0.70622,0.660254,0.333333,0,1,3,1,1,0.1,51148549c2a3754cfe6692cf,1
41.8,0.085963,0.220679,7.442948,0.961538,1.077849,0.146667,8.325555,2.291474,-0.073719,4.801193,0.325595,1.072415,0.708128,0.633844,2.625,3.333333,5.333333,8,3,3,0.7,51148da2c2a3754cfe669f10,1
30.317073,0.06434,0.343537,7.726601,0.911111,3.505678,0.065041,4.561074,3.052141,0.010999,4.286582,0.206472,0.269208,0.234266,0.188195,0.6,1.5,0.5,5,2,2,0.3,51147bdbc2a3754cfe668749,1
48.346154,0.071347,0.138694,7.533197,0.928571,1.384289,0.153846,6.828168,2.193562,-0.076917,5.192992,0.180419,0.801219,0.698679,0.628741,4.75,4.25,3.5,4,4,4,0.1,51148d6dc2a3754cfe669e91,1
32.083333,0.065399,0.16689,7.542431,0.857143,1.144935,0.222222,6.04397,2.305321,-0.078033,6.623126,0.269892,0.720103,0.564749,0.519795,0.8,1.25,0.5,5,4,2,0.6,51148defc2a3754cfe669f4d,1
38.289474,0.069767,0.353653,7.644589,0.904762,3.297443,0.087719,3.506949,2.950029,0.000535,4.068792,0.173051,0.656583,0.287262,0.159348,0.75,0.75,1.5,4,4,4,0.4,51147abac2a3754cfe668648,1
64.305556,0.086729,0.302707,7.414304,0.923077,3.645147,0.157407,4.412857,2.795785,0.031777,4.430173,0.310189,0.420662,0.412724,0.324645,2.333333,1.5,0.166667,6,6,6,0.9,511478c8c2a3754cfe6684a9,1
47.470588,0.066866,0.14361,6.690859,0.944444,0.880227,0.372549,13.850105,2.432575,-0.101434,4.870936,1.072745,2.205236,2.137137,1.206566,0.894737,0.894737,1.333333,19,19,12,0.7,51148c29c2a3754cfe669ce6,1
