@relation CityBeatEvents-weka.filters.unsupervised.attribute.Remove-R23

@attribute AvgCaptionLen numeric
@attribute stat_StdPhotoDis numeric
@attribute AvgPhotoDis numeric
@attribute MeanPhotoDisbyCap numeric
@attribute CaptionPercentage numeric
@attribute PredictedStd numeric
@attribute TopWordPopularity numeric
@attribute Zscore numeric
@attribute Entropy numeric
@attribute diff_AvgPhotoDis numeric
@attribute diff_TopWordPopularity numeric
@attribute diff_Entropy numeric
@attribute tfidf1 numeric
@attribute tfidf2 numeric
@attribute tfidf3 numeric
@attribute NumberOfHashtages1 numeric
@attribute NumberOfHashtages2 numeric
@attribute NumberOfHashtages3 numeric
@attribute NumberOfPhotsoContaingTopWord1 numeric
@attribute NumberOfPhotsoContaingTopWord2 numeric
@attribute NumberOfPhotsoContaingTopWord3 numeric
@attribute Top10PhotoLocationNameFreq numeric
@attribute label {1,-1}

@data
43.9,0.052695,0.293919,7.161236,1,1.71602,0.133333,4.471566,2.945039,0.032889,21.686418,0.330283,0.582008,0.55324,0.512694,1.333333,1,2,3,1,1,0.1,-1
45.6,0.076725,0.297354,7.118751,1,1.716151,0.2,7.072787,3.050302,-0.097026,20.353098,0.67776,0.60024,0.60024,0.60024,1.333333,2,0,3,2,1,0.1,-1
26.777778,0.069984,0.325992,7.304052,0.9,1.215623,0.148148,4.52742,2.900052,0.120797,20.239036,0.376177,0.777993,0.601624,0.601624,1,2,0,2,1,1,0.1,-1
39.444444,0.064114,0.217846,7.661116,0.9,2.114504,0.111111,4.16047,2.815334,-0.059715,20.261462,0.18331,0.589917,0.589917,0.579327,2,0,0,1,1,1,0.1,-1
66.5,0.083767,0.363831,7.250869,1,2.329516,0.133333,5.867935,3.050302,0.056597,21.63523,0.320261,0.60024,0.60024,0.582008,1,0,0,2,1,1,0.1,-1
35.4,0.063716,0.210765,8.196174,0.625,0.820635,0.2,8.630848,2.822182,-0.054042,20.478019,0.379135,1.10648,0.980758,0.955726,7,2,2,1,1,1,0.125,-1
69.5,0.037806,0.321953,8.079841,0.75,0.819632,0.166667,10.624334,3.028639,0.103327,22.598002,0.252499,0.944322,0.944322,0.922067,0,0,1,1,1,1,0.125,-1
31.9,0.024116,0.18763,6.824134,1,1.241936,0.233333,7.285886,2.905308,-0.067631,21.03578,0.430181,0.864322,0.700194,0.541462,1.25,0.5,0,4,2,1,0.1,-1
55.25,0.051965,0.374002,7.502314,1,0.919913,0.125,3.376126,3.146286,0.008774,21.73107,0.13985,0.750301,0.750301,0.72751,1,0,1,1,1,1,0.125,-1
42.7,0.048715,0.39776,7.332633,1,1.057102,0.1,10.192461,3.115834,0.069557,21.472956,0.230392,0.60024,0.55324,0.55324,3,6,6,1,1,1,0.1,-1
41.1,0.065415,0.350697,7.467979,1,1.82765,0.2,5.892977,3.036372,0.091113,21.768358,0.54517,0.60024,0.60024,0.566593,1,0,0,2,2,2,0.1,-1
53.444444,0.061478,0.313205,7.65614,0.9,1.335185,0.111111,3.797938,3.010571,0.02624,20.99468,0.326712,0.666934,0.646676,0.629548,0,0,0,1,1,1,0.1,-1
54.625,0.053584,0.228033,7.80175,0.8,0.985694,0.166667,6.366967,3.010571,0.01194,21.886986,0.144051,0.750301,0.72751,0.72751,0.5,3,2,2,1,1,0.1,-1
56.7,0.055305,0.350789,7.533351,1,2.286334,0.133333,3.099935,2.860321,-0.085481,22.190251,0.197154,1.164017,0.60024,0.60024,0,0,0,2,1,1,0.2,-1
67.6,0.071867,0.366985,7.216196,1,2.382796,0.166667,4.379112,3.010571,0.022653,20.896186,0.357499,1.082924,0.72831,0.60024,0.5,2,3,2,2,1,0.1,-1
31.6,0.109412,0.367008,7.193941,1,1.900077,0.133333,3.371426,2.965584,-0.037268,22.443952,0.085869,0.848909,0.582008,0.582008,0,0,8,2,1,1,0.1,-1
49.4,0.08284,0.333266,7.026901,1,2.764348,0.2,4.720645,2.965584,0.023552,21.854507,0.430174,0.944294,0.68143,0.653607,0.5,0.5,0,2,2,2,0.1,-1
67.4,0.053779,0.355633,7.311758,1,1.479917,0.133333,4.846832,3.050302,0.028329,20.847109,0.078947,0.955726,0.60024,0.60024,1.5,3,0,2,1,1,0.1,-1
51.333333,0.061344,0.378119,7.671562,0.9,1.370222,0.148148,4.008809,3.050302,0.019539,21.665638,0.188682,0.666934,0.666934,0.646676,0,5,0,2,1,1,0.2,-1
58.6,0.116207,0.304886,7.240634,1,1.420364,0.166667,4.179204,2.752855,-0.060115,21.107308,0.631166,0.582008,0.576891,0.566593,3,3.5,3,2,2,1,0.2,-1
46.8,0.103491,0.310343,7.218478,1,1.300701,0.166667,3.904503,2.865577,0.083361,20.203302,0.400774,0.60024,0.582008,0.566593,0,0,0,3,1,1,0.2,-1
32.3,0.107479,0.254119,7.680718,1,2.596585,0.133333,4.384549,2.900052,0.002958,21.295807,0.516043,0.60024,0.60024,0.582008,0.5,2,4,2,2,1,0.3,-1
37.333333,0.080926,0.251737,8.353659,0.6,0.943458,0.222222,4.844576,2.865577,-0.009287,22.968784,0.210998,0.970014,0.944322,0.902436,0,3,1,2,1,1,0.4,-1
70.444444,0.085707,0.326015,7.552076,0.9,2.717033,0.185185,3.34017,2.965584,-0.016402,21.409043,0.170838,0.666934,0.629548,0.616791,2.5,0.5,4,2,2,1,0.1,-1
70.857143,0.099369,0.249767,8.104615,0.7,1.424092,0.238095,3.646173,2.713124,-0.053411,22.373881,0.384783,1.000277,0.83144,0.710398,9.5,4.5,13,2,2,1,0.2,-1
32,0.04483,0.295697,7.4169,0.9,1.928128,0.148148,3.675087,2.905308,-0.113341,22.498956,0.660388,1.229422,0.666934,0.646676,1,1.5,1,2,2,1,0.1,-1
52.1,0.093812,0.282911,7.325866,1,2.924251,0.133333,3.094114,3.076103,-0.082301,22.193522,0.372893,0.566593,0.566593,0.55324,3.5,4,3,2,1,1,0.1,-1
47.8,0.093825,0.352822,7.92443,1,1.178912,0.166667,6.736772,2.925853,-0.049144,20.640293,0.198704,0.582008,0.55324,0.521395,0,5,10,2,2,1,0.2,-1
38.875,0.042225,0.365994,7.222305,1,1.375782,0.125,5.062446,3.057476,-0.035736,22.805792,0.239286,0.750301,0.676827,0.612974,1,1,1,1,1,1,0.125,-1
68,0.166025,0.289887,8.045512,0.8,2.865306,0.166667,3.367721,2.66898,-0.015388,22.134745,0.371992,0.750301,0.630862,0.621598,19.5,29,0,2,1,1,0.1,-1
51.1,0.094478,0.279725,6.913259,1,2.229051,0.233333,3.606831,2.860321,-0.050161,22.66549,0.611934,0.886758,0.667035,0.504689,0,0.5,0,3,2,2,0.2,-1
43.1,0.059841,0.337192,7.180204,1,1.31586,0.1,4.343056,3.050302,0.007391,22.184734,0.277651,0.60024,0.55324,0.530926,2,0,1,1,1,1,0.1,-1
70.7,0.129042,0.353543,7.129957,1,1.684762,0.2,3.477226,2.98477,0.038885,22.048807,0.157895,1.10648,0.817096,0.60024,0.5,1,0,2,2,2,0.1,-1
