@relation CityBeatEvents-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Remove-R10-12

@attribute AvgCaptionLen numeric
@attribute stat_StdPhotoDis numeric
@attribute AvgPhotoDis numeric
@attribute MeanPhotoDisbyCap numeric
@attribute CaptionPercentage numeric
@attribute PredictedStd numeric
@attribute TopWordPopularity numeric
@attribute Zscore numeric
@attribute Entropy numeric
@attribute tfidf1 numeric
@attribute tfidf2 numeric
@attribute tfidf3 numeric
@attribute NumberOfHashtages1 numeric
@attribute NumberOfHashtages2 numeric
@attribute NumberOfHashtages3 numeric
@attribute NumberOfPhotsoContaingTopWord1 numeric
@attribute NumberOfPhotsoContaingTopWord2 numeric
@attribute NumberOfPhotsoContaingTopWord3 numeric
@attribute Top10PhotoLocationNameFreq numeric
@attribute label {1,-1}

@data
45.454545,0.071508,0.36627,7.895768,0.785714,1.989448,0.121212,4.249047,2.926646,0.545673,0.529098,0.492238,4.333333,3,13,3,1,1,0.1,-1
32.571429,0.071752,0.243646,7.751963,0.875,0.849335,0.142857,7.631037,2.933955,0.83144,0.83144,0.773517,1,5,5,1,1,1,0.25,-1
71.666667,0.06364,0.309858,7.448728,1,2.205534,0.111111,3.464864,2.953968,0.242077,0.240089,0.222311,2.666667,12.666667,12.666667,3,3,3,0.2,-1
78.333333,0.046697,0.211938,8.342296,0.75,1.606191,0.222222,3.987205,2.984234,0.970014,0.902436,0.884876,1,0,2,2,1,1,0.125,-1
38.904762,0.069086,0.352445,8.097585,0.724138,1.829145,0.063492,4.223088,3.091392,0.277147,0.277147,0.277147,0.5,1,0,2,1,1,0.1,-1
59.5,0.066828,0.292576,7.739072,0.869565,1.433542,0.1,3.496593,2.858459,0.405649,0.30012,0.30012,1.5,2.5,3.5,2,2,2,0.3,-1
38.777778,0.065909,0.341291,8.154226,0.75,2.822466,0.148148,3.184289,2.98709,1.333868,0.666934,0.614711,0,0,0,2,1,1,0.2,-1
50.6,0.082367,0.302372,8.557339,0.555556,1.48695,0.2,4.252349,2.885513,1.042789,0.933481,0.933481,0,0,0,1,1,1,0.111111,-1
47.823529,0.050681,0.36361,7.956756,0.73913,3.947869,0.176471,4.053696,2.97903,0.614948,0.612125,0.431833,0,0,0,3,3,3,0.2,-1
37.615385,0.057961,0.407862,7.474859,0.928571,1.341186,0.128205,4.066862,3.01248,0.461723,0.461723,0.447699,0,0,0,2,2,1,0.1,-1
62.666667,0.083198,0.3082,7.549963,0.9,1.681053,0.111111,3.734553,2.860321,0.666934,0.666934,0.629548,0,0,0,1,1,1,0.1,-1
41.26087,0.049624,0.358461,7.698037,0.851852,1.681391,0.101449,5.280105,3.115805,0.260974,0.260974,0.260974,1,1.5,0,3,2,2,0.1,-1
33.2,0.098589,0.299405,7.786366,0.833333,1.928128,0.1,3.95798,2.678032,0.582008,0.582008,0.566593,5,3,0,1,1,1,0.4,-1
48,0.06991,0.328619,7.34442,1,1.995016,0.066667,3.400899,2.950826,0.40016,0.40016,0.40016,0,8,1,1,1,1,0.1,-1
26.666667,0.076912,0.229374,7.210179,1,0.99516,0.111111,4.982759,2.969389,0.646676,0.629548,0.629548,1,0,0,1,1,1,0.111111,-1
54,0.093493,0.294878,7.86227,0.9,2.336312,0.185185,3.345738,2.900052,0.994744,0.976215,0.666934,3.5,0.5,7,2,2,1,0.1,-1
38.666667,0.063052,0.299785,7.342449,1,2.073239,0.111111,3.69808,3.006867,0.40016,0.40016,0.388006,0.5,0.5,2,2,2,1,0.1,-1
64.708333,0.083102,0.309997,7.840704,0.888889,4.33858,0.125,3.152411,2.804334,0.285182,0.2501,0.2501,10.75,11.333333,19.5,4,3,2,0.3,-1
56.333333,0.06882,0.279113,7.587193,0.923077,1.382313,0.138889,3.674965,2.828781,0.769811,0.5002,0.485007,1.333333,8,5,3,1,1,0.2,-1
24.125,0.080362,0.328195,7.985408,0.842105,2.865322,0.083333,3.665524,2.653126,0.37515,0.302453,0.288507,3.5,0,0,2,1,1,0.2,-1
37.75,0.054825,0.248687,7.315065,0.888889,2.222768,0.25,3.268035,2.974938,1.532056,0.708242,0.706088,3.666667,5.5,0,3,2,1,0.222222,-1
42.285714,0.086955,0.324526,7.767957,0.875,1.983186,0.079365,4.381585,2.818177,0.146631,0.146121,0.142914,0.75,0,0,4,3,3,0.3,-1
52.555556,0.054581,0.329043,7.430652,0.947368,3.181141,0.092593,4.069985,3.097558,0.333467,0.333467,0.323338,2,4.5,0,2,2,1,0.1,-1
48.111111,0.068439,0.374533,7.7458,0.818182,0.757769,0.148148,8.475832,3.070951,0.646676,0.589917,0.589917,0,0,0,2,1,1,0.2,-1
53.166667,0.035016,0.355531,7.900816,0.75,1.547154,0.166667,6.431291,3.057476,0.970014,0.944322,0.854489,5,0,0,1,1,1,0,-1
40.478261,0.081626,0.323909,7.671905,0.92,2.474885,0.101449,4.049863,2.97721,0.260974,0.253047,0.253047,0,0,2.5,3,2,2,0.3,-1
41,0.095293,0.257639,7.995983,0.75,1.227863,0.166667,3.191938,2.889549,0.970014,0.868991,0.868991,7,6,0,1,1,1,0.125,-1
